"","...1","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Total stated...21","Not Elsewhere Included","Total...23","Work at home","Proportions (worked today)(19)(20)...25","Did not go to work today","Proportions (worked today)(19)(20)...27","Drive a private car, truck or van","Proportions (worked today)(19)(20)...29","Drive a company car, truck or van","Proportions (worked today)(19)(20)...31","Passenger in a car, truck, van or company bus","Proportions (worked today)(19)(20)...33","Public bus","Proportions (worked today)(19)(20)...35","Train","Proportions (worked today)(19)(20)...37","Bicycle","Proportions (worked today)(19)(20)...39","Walk or jog","Proportions (worked today)(19)(20)...41","Ferry","Proportions (worked today)(19)(20)...43","Other","Proportions (worked today)(19)(20)...45","Total stated...46","Proportions (worked today)(19)(20)...47","Not elsewhere included...48","Total...49","No activities","Household work, cooking, repairs, gardening, etc, for own household","Looking after a child who is a member of own household","Looking after a member of own household who is ill or has a disability","Looking after a child who does not live in own household","Helping someone who is ill or has a disability who does not live in own household","Other helping or voluntary work for or through any organisation, group or marae","Total stated...57","Not elsewhere included...58","Total...59"
"53","Tauranga","1203","48","3309","270","3804","1896","3579","2328","1755","306","756","948","3573","1758","1335","2754","4635","501","1557","36318","..C","36318","4575",12.6,"..C",0,"22257",61.3,"4701",12.9,"1263",3.5,"618",1.7,"15",0,"951",2.6,"1452",4,"..C",0,"483",1.3,"36318",100,"..C","36318","5520","42015","13617","3474","7215","4311","7404","48747","10557","59304"
"54","Te Atatu","249","12","4230","237","3849","2148","3507","2106","1530","966","1311","678","3741","1995","1728","2997","3780","717","1461","37233","..C","37233","2331",6.3,"..C",0,"24066",64.6,"4011",10.8,"1797",4.8,"1776",4.8,"1575",4.2,"414",1.1,"810",2.2,"15",0,"435",1.2,"37233",100,"..C","37233","6216","38691","15063","3609","5610","3066","5463","46092","12399","58485"
"55","Tukituki","6117","42","5268","285","3084","1746","3288","2055","1296","228","1035","717","2991","2700","1644","3237","3897","480","1470","41577","..C","41577","5658",13.6,"..C",0,"25848",62.2,"4803",11.6,"2220",5.3,"207",0.5,"..C",0,"873",2.1,"1416",3.4,"..C",0,"540",1.3,"41577",100,"..C","41577","5895","43284","15264","4224","8226","4878","7695","50469","13470","63936"
"56","Upper Harbour","207","18","3447","198","3987","2601","3978","2151","1374","927","1593","816","4593","1884","1842","2937","3348","636","1461","38001","..C","38001","2886",7.6,"..C",0,"24252",63.8,"4410",11.6,"1575",4.1,"3135",8.2,"177",0.5,"189",0.5,"507",1.3,"447",1.2,"423",1.1,"38001",100,"..C","38001","5967","38313","14760","2895","4824","2493","4917","45423","10278","55701"
"57","Waikato","6573","234","5175","324","3768","1644","2922","1569","1299","231","576","660","2859","1383","1566","3027","3018","705","1404","38937","..C","38937","7587",19.5,"..C",0,"22716",58.3,"4953",12.7,"1227",3.2,"153",0.4,"9",0,"339",0.9,"1152",3,"6",0,"795",2,"38937",100,"..C","38937","5121","42792","15936","3966","7986","4341","7911","49050","10158","59211"
"58","Waimakariri","1707","66","4203","381","5226","1926","3873","1671","1695","363","789","861","2892","1257","1662","2529","3270","561","1668","36603","..C","36603","4560",12.5,"..C",0,"22872",62.5,"5883",16.1,"1011",2.8,"474",1.3,"..C",0,"543",1.5,"915",2.5,"..C",0,"333",0.9,"36603",100,"..C","36603","4983","43536","14568","3543","7965","4137","6894","49626","6330","55959"
"59","Wairarapa","6738","75","4059","354","2928","1275","3354","1974","1179","300","579","555","2406","1128","1875","2661","3561","465","1413","36885","..C","36885","6840",18.5,"..C",0,"20499",55.6,"4095",11.1,"1476",4,"63",0.2,"1197",3.2,"459",1.2,"1665",4.5,"9",0,"582",1.6,"36885",100,"..C","36885","5130","42636","13515","3807","8115","4992","8892","49053","9660","58716"
"60","Waitaki","7098","255","3618","426","4260","1644","3156","3429","1359","225","402","810","1884","1269","927","2163","2472","837","1221","37458","..C","37458","8325",22.2,"..C",0,"18678",49.9,"5205",13.9,"1257",3.4,"30",0.1,"12",0,"843",2.3,"2460",6.6,"6",0,"639",1.7,"37458",100,"..C","37458","4827","41379","12210","2835","6681","3846","9051","47358","7824","55182"
"61","Wellington Central","255","54","1062","324","1290","1029","3108","4452","807","1458","2055","621","8187","1902","7062","3537","2706","1302","1365","42582","..C","42582","3411",8,"..C",0,"9864",23.2,"1197",2.8,"1068",2.5,"6732",15.8,"336",0.8,"1533",3.6,"17403",40.9,"9",0,"1029",2.4,"42582",100,"..C","42582","5571","45828","9615","2304","5106","3327","9054","52467","7023","59490"
"62","West Coast-Tasman","5643","489","3693","198","3270","990","3270","3507","1491","246","423","579","1809","1551","1083","2370","2997","870","1317","35787","..C","35787","7347",20.5,"..C",0,"18945",52.9,"4365",12.2,"1458",4.1,"30",0.1,"12",0,"984",2.7,"2136",6,"21",0.1,"489",1.4,"35787",100,"..C","35787","4515","40629","12354","3498","7326","4683","8856","46272","8880","55152"
"63","Whanganui","4374","114","6609","198","2751","1143","3174","1740","1050","177","423","438","1923","1044","1905","3015","4050","435","1323","35892","..C","35892","5580",15.5,"..C",0,"21933",61.1,"3699",10.3,"1296",3.6,"84",0.2,"9",0,"825",2.3,"1710",4.8,"12",0,"741",2.1,"35892",100,"..C","35892","5655","41805","13596","4134","8325","5244","8529","48882","12054","60936"
"64","Whangaparaoa","219","36","2526","156","4878","2496","3570","1545","1056","711","1458","972","4545","1467","1443","2820","3171","789","1539","35391","..C","35391","4470",12.6,"..C",0,"20547",58.1,"5511",15.6,"1035",2.9,"2343",6.6,"12",0,"78",0.2,"708",2,"363",1,"324",0.9,"35391",100,"..C","35391","5172","41274","14271","3147","6216","3402","6255","47589","7818","55407"
"65","Whangarei","1947","87","3981","438","4179","1257","3804","2169","1704","234","582","756","2817","1491","2346","3090","5598","585","1629","38691","..C","38691","4971",12.8,"..C",0,"24414",63.1,"4914",12.7,"1857",4.8,"291",0.8,"9",0,"342",0.9,"1470",3.8,"12",0,"414",1.1,"38691",100,"..C","38691","5652","46191","15690","4650","8808","5613","8871","53163","12450","65610"
"66","Wigram","609","33","4953","252","4125","2145","3909","2904","1995","471","759","642","3621","2058","1383","2412","3807","510","1662","38244","..C","38244","2589",6.8,"..C",0,"24198",63.3,"3759",9.8,"1425",3.7,"1878",4.9,"12",0,"2100",5.5,"1833",4.8,"..C",0,"444",1.2,"38244",100,"..C","38244","7362","40914","12063","2787","5598","3288","5778","49452","9009","58464"
"67","Total","143139","6063","238410","18006","226149","119928","219147","159753","105138","38892","64941","49125","242619","111651","132279","198015","232128","44466","95289","2445141","..C","2445141","291135",11.9,"..C",0,"1412994",57.8,"274905",11.2,"97584",4,"103194",4.2,"48777",2,"47811",2,"127350",5.2,"6045",0.2,"35343",1.4,"2445141",100,"..C","2445141","363819","2673633","904797","226386","437424","256275","473688","3115566","660786","3776355"
